ТИП1;ТИП2;ТИП3
Акции (регистрация);Выберите;Выберите
Акции (регистрация);Оборудование на год;Не определено
Акции (регистрация);Пакет минут в подарок;Выберите
Акции (регистрация);Пакет минут в подарок;Не определено
Бизнес-администрирование ЕКБ;Перенос лицевых счетов;Выберите
Бизнес-администрирование ЕКБ;Перенос лицевых счетов;Перенос лицевых счетов организации
Бизнес-администрирование ЕКБ;Перенос лицевых счетов;Перенос лицевых счетов ФЛ
Бизнес-проблема;Выберите;Выберите
Бизнес-проблема;Недоступность услуги/сервиса;Отключение дебиторов
Бизнес-проблема;Продажи/обслуживание;Выберите
Бизнес-проблема;Продажи/обслуживание;Качество обслуживания
Бизнес-проблема;Продажи/обслуживание;Качество продаж
Бизнес-проблема;Продажи/обслуживание;Прочее
Бизнес-проблема;Продвижение/коммуникации;Акции
Бизнес-проблема;Продвижение/коммуникации;Выберите
Бизнес-проблема;Продвижение/коммуникации;Маркет.рассылки
Бизнес-проблема;Продвижение/коммуникации;Некорректная информация на сайте
Бизнес-проблема;Продвижение/коммуникации;Переход на новую технологию
Бизнес-проблема;Продвижение/коммуникации;Прочее
Выберите;Выберите;Выберите
Выберите;Выберите;Не определено
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ/МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МГ/МН отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;ВЗ/МН отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;Выберите
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МГ/МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МГ/МН отключение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МН включение
Дистанционная продажа;Вкл. откл ВЗ/МГ/МН;МН отключение
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Выберите
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Другие услуги
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) блокировка
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД) разблокировка/изм.даты
Дистанционная продажа;Добр. блокировка/разблокировка услуг;Пакет (ОТА+ШПД+IPTV) блокировка
